Alter;31.12.2020
unter 1 Jahr;769380
1-Jährige;783593
2-Jährige;798366
3-Jährige;806198
4-Jährige;811601
5-Jährige;785754
6-Jährige;774587
7-Jährige;747447
8-Jährige;745883
9-Jährige;729897
10-Jährige;747757
11-Jährige;736417
12-Jährige;755570
13-Jährige;750180
14-Jährige;735170
15-Jährige;744218
16-Jährige;760578
17-Jährige;761348
18-Jährige;779039
19-Jährige;811591
20-Jährige;865943
21-Jährige;885430
22-Jährige;910983
23-Jährige;955511
24-Jährige;952624
25-Jährige;939020
26-Jährige;953617
27-Jährige;984464
28-Jährige;1000769
29-Jährige;1035069
30-Jährige;1127628
31-Jährige;1112935
32-Jährige;1136859
33-Jährige;1112354
34-Jährige;1091312
35-Jährige;1058097
36-Jährige;1050221
37-Jährige;1050675
38-Jährige;1070818
39-Jährige;1061065
40-Jährige;1065188
41-Jährige;1013187
42-Jährige;998596
43-Jährige;988332
44-Jährige;969585
45-Jährige;944048
46-Jährige;954793
47-Jährige;960699
48-Jährige;1038215
49-Jährige;1138105
50-Jährige;1177845
51-Jährige;1261618
52-Jährige;1318051
53-Jährige;1348886
54-Jährige;1380824
55-Jährige;1381357
56-Jährige;1402572
57-Jährige;1385607
58-Jährige;1336643
59-Jährige;1311139
60-Jährige;1261935
61-Jährige;1220021
62-Jährige;1146667
63-Jährige;1113442
64-Jährige;1076072
65-Jährige;1035309
66-Jährige;1007452
67-Jährige;967555
68-Jährige;958288
69-Jährige;930500
70-Jährige;921770
71-Jährige;881247
72-Jährige;795008
73-Jährige;737688
74-Jährige;632357
75-Jährige;546752
76-Jährige;718997
77-Jährige;717058
78-Jährige;680345
79-Jährige;804876
80-Jährige;818459
81-Jährige;775452
82-Jährige;687458
83-Jährige;604464
84-Jährige;544669
85 Jahre und mehr;2505932